id,availability in one year,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bathroom_count,bathroom_type,Total crime
42066420,109,Large Fully Renovated 1 Bedroom in Bryant,Bryant,47.67009,-122.28393,Entire guest suite,Entire home/apt,4,1 bath,1.0,2.0,111.0,41,4.83,4.85,4.9,4.93,4.88,4.85,4.93,1.0,standard,4345.0
42081811,91,"Pioneer Sq 1BR w/ Gym, W/D, nr. Occidental Sq",Pioneer Square,47.5978181,-122.3330053,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,142.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,standard,28537.0
42084111,244,"Pioneer Sq 1BR w/ Gym, W/D, nr. Occidental Sq",Pioneer Square,47.59767009999999,-122.3319748,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,135.0,0,,,,,,,,1.0,standard,28537.0
42084151,94,"Capitol Hill 1BR w/ Gym, Roof, W/D, nr. Broadway",Broadway,47.6206301,-122.3198568,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,143.0,0,,,,,,,,1.0,standard,55097.0
42117836,3,Stunning Seattle Sky Suite at Pike Place w/ Patio,Central Business District,47.6072,-122.3376,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,105.0,80,4.99,4.99,4.96,4.98,4.98,5.0,4.93,1.0,standard,66011.0
42138876,178,Fully Furnished Studio Apartment,Broadway,47.61518,-122.32664,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,265.0,35,4.91,4.94,4.82,4.74,4.94,5.0,4.82,1.0,standard,55097.0
42180043,127,Comfy Cozy Eclectic Studio in North Capitol Hill,Montlake,47.63971,-122.32045,Entire condo,Entire home/apt,2,1 bath,0.0,2.0,99.0,123,4.95,4.97,4.94,4.96,4.99,4.96,4.88,1.0,standard,4815.0
42201985,258,Greenwood Getaway!,Greenwood,47.68861,-122.35386,Private room in home,Private room,2,1 private bath,1.0,1.0,80.0,105,4.99,5.0,4.99,4.99,5.0,5.0,4.95,1.0,private,23785.0
42208169,317,3BRs w/ AC in grand Victorian in heart of Seattle,Minor,47.60303,-122.30752,Private room in home,Private room,3,2 baths,3.0,3.0,675.0,7,5.0,4.86,4.57,5.0,5.0,4.86,4.86,2.0,standard,17587.0
42224622,281,New Construction 2Bd/1Ba Suite Next to Light Rail,South Beacon Hill,47.52463,-122.28315,Entire condo,Entire home/apt,4,1 bath,2.0,2.0,94.0,54,4.35,4.67,4.61,4.7,4.43,4.72,4.41,1.0,standard,4934.0
42247084,296,College Inn - Premium 2 Queen Room with Private Bath,University District,47.65462,-122.31253,Room in boutique hotel,Private room,4,1 private bath,1.0,2.0,147.0,120,4.71,4.72,4.83,4.82,4.88,4.86,4.72,1.0,private,31260.0
42255106,93,Lower Queen Anne 2B2B Loft with Space Needle View,Westlake,47.62736,-122.34327,Entire loft,Entire home/apt,4,2 baths,2.0,2.0,182.0,14,5.0,5.0,5.0,5.0,5.0,4.93,4.79,2.0,standard,5147.0
42258499,172,Pike meets CapHill- Convention Ctr - 99 Walkscore!,First Hill,47.61111,-122.329,Entire rental unit,Entire home/apt,6,2 baths,2.0,2.0,623.0,46,4.63,4.7,4.72,4.7,4.83,4.96,4.65,2.0,standard,28704.0
42313537,241,Beautifully renovated cottage studio at Alki,Alki,47.5738,-122.41552,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,135.0,197,4.99,4.99,5.0,4.99,5.0,4.98,4.94,1.0,standard,5324.0
42353206,189,DT Designer’s 2BR Condo Parking/Tub/Pool (99 ws),Belltown,47.61406,-122.34643,Entire condo,Entire home/apt,6,1 bath,2.0,4.0,234.0,187,4.73,4.83,4.8,4.7,4.95,4.98,4.68,1.0,standard,32555.0
42375633,109,"Lower Queen Anne 1BR w/ Gym, W/D, nr. Restos",Lower Queen Anne,47.6188192,-122.3552446,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,127.0,0,,,,,,,,1.0,standard,24262.0
42375710,107,"Lower Queen Anne Studio w/ Gym, W/D, nr. Restos",Lower Queen Anne,47.6188192,-122.3552446,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,132.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,standard,24262.0
42401874,246,🌟 3BR Comfy Modern Townhouse Between Airport & DT,Mid-Beacon Hill,47.54714,-122.28827,Entire townhouse,Entire home/apt,8,2 baths,3.0,4.0,181.0,125,4.79,4.92,4.8,4.93,4.94,4.54,4.79,2.0,standard,11964.0
42414204,257,Walk to Pike and Space Needle from a Cap Hill Loft,Broadway,47.62459,-122.32413,Entire townhouse,Entire home/apt,11,2.5 baths,3.0,6.0,191.0,50,4.96,4.94,4.94,4.96,5.0,4.98,4.84,2.5,standard,55097.0
42488475,0,Spacious Magnolia Home,Lawton Park,47.65065,-122.39625,Entire home,Entire home/apt,5,2.5 baths,3.0,5.0,160.0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.5,standard,6029.0
42510454,170,Relaxed Sparkling Clean Private Apt in Queen Anne,West Queen Anne,47.63723,-122.36632,Entire rental unit,Entire home/apt,6,1 bath,2.0,3.0,216.0,45,4.87,4.8,4.87,4.98,4.98,4.89,4.8,1.0,standard,7145.0
42511001,215,Stroll to Pike/Space Needle from a Cap Hill Loft,Broadway,47.62123,-122.31665,Entire townhouse,Entire home/apt,9,1.5 baths,3.0,4.0,254.0,75,4.76,4.77,4.69,4.99,4.91,4.95,4.67,1.5,standard,55097.0
42512576,236,Beautiful Oasis in Seattle's Seward Park!,Seward Park,47.56001,-122.26737,Entire home,Entire home/apt,7,2 baths,4.0,4.0,225.0,117,4.75,4.74,4.66,4.88,4.91,4.91,4.69,2.0,standard,6417.0
42606280,89,Downtown/Convention Center/Cap Hill +98 Walk Score,First Hill,47.61248,-122.32862,Entire condo,Entire home/apt,5,1 bath,1.0,1.0,129.0,8,4.38,4.25,4.25,4.38,4.5,4.63,4.5,1.0,standard,28704.0
42609622,348,"Safe, quiet and cool ( PROXIMAL TO NEW LIGHT-RAIL)",Maple Leaf,47.69854,-122.31086,Entire home,Entire home/apt,1,1 bath,1.0,1.0,84.0,10,4.6,4.6,5.0,4.5,4.5,4.8,4.8,1.0,standard,11455.0
42613276,202,Spacious & Family-friendly 4BR/2BA Vacation House,Wallingford,47.65495707906239,-122.33499796980156,Entire home,Entire home/apt,9,2 baths,4.0,5.0,229.0,84,4.94,4.92,4.89,4.94,4.98,4.99,4.79,2.0,standard,19411.0
42628302,165,Walking to Capitol Hill and Seattle downtown,Yesler Terrace,47.60492,-122.31843,Entire home,Entire home/apt,2,1 bath,1.0,1.0,94.0,155,4.68,4.83,4.77,4.93,4.93,4.82,4.69,1.0,standard,11416.0
42629440,225,SUPERB LOCATION!  Ballard Locks Small House (ADU),Sunset Hill,47.66975,-122.4015,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,80.0,38,4.79,4.84,4.82,4.87,4.82,5.0,4.66,1.0,standard,4263.0
42648598,146,"Kremrest ~ Nature Suite ~ Clean, Fun, Creative",Belltown,47.61606,-122.33169,Room in hotel,Private room,4,1 private bath,1.0,2.0,105.0,24,4.67,4.83,4.67,4.83,4.96,4.92,4.83,1.0,private,32555.0
42655807,102,Marvelous 2-Bedroom Suite Bathed In Natural Light!,Matthews Beach,47.71333,-122.28482,Entire guest suite,Entire home/apt,6,1 bath,2.0,3.0,66.0,53,4.66,4.79,4.66,4.94,4.92,4.83,4.64,1.0,standard,3602.0
42671642,244,Urban Farmhouse - rejuvenate and explore,West Queen Anne,47.63397,-122.35956,Entire home,Entire home/apt,6,2.5 baths,2.0,3.0,234.0,78,4.97,4.96,4.97,5.0,4.97,4.99,4.85,2.5,standard,7145.0
42672886,288,West Seattle Best Seattle Rare find! 10 min DT SEA,Fairmount Park,47.55868,-122.38052,Entire townhouse,Entire home/apt,4,2 baths,2.0,3.0,116.0,165,4.87,4.85,4.9,4.96,4.99,4.82,4.79,2.0,standard,6776.0
42681447,162,"S. Lake Union Studio w/ Gym, BBQ, nr. Amazon",Belltown,47.61718,-122.33137,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,136.0,0,,,,,,,,1.0,standard,32555.0
42681629,0,"S. Lake Union 2BR w/ Gym, Rooftop, nr Amazon",Belltown,47.61718,-122.33137,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,298.0,3,4.67,5.0,5.0,4.33,4.33,4.33,4.67,2.0,standard,32555.0
42681692,0,"S. Lake Union 1BR w/ Gym, Doorman, nr. Amazon",Belltown,47.61718,-122.33137,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,180.0,0,,,,,,,,1.0,standard,32555.0
42688279,78,Seattle Pop Art Pad with Rooftop Deck Views,Broadway,47.62806,-122.32379,Entire townhouse,Entire home/apt,4,2 baths,2.0,2.0,250.0,86,4.97,4.93,5.0,4.9,4.95,4.93,4.86,2.0,standard,55097.0
42689162,300,Unique Georgetown Nautical Inspired Artist Loft,Georgetown,47.54876,-122.31843,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,90.0,170,4.85,4.92,4.8,4.92,4.96,4.85,4.76,1.0,standard,10434.0
42695194,178,1 block from the Beach! Clean&Modern 3BR Townhouse,Alki,47.57777,-122.41131,Entire townhouse,Entire home/apt,8,2.5 baths,3.0,4.0,223.0,81,4.85,4.94,4.93,4.89,4.95,4.95,4.77,2.5,standard,5324.0
42712915,213,Spacious 3BR townhouse centrally located in SEA,Atlantic,47.59533,-122.30967,Entire townhouse,Entire home/apt,8,2.5 baths,3.0,4.0,186.0,120,4.94,4.97,4.86,4.98,4.99,4.83,4.93,2.5,standard,16578.0
42773371,98,Loft Suite - College Inn - European-Style Hotel,University District,47.65501,-122.31392,Room in boutique hotel,Private room,4,1 private bath,2.0,3.0,172.0,55,4.76,4.75,4.87,4.85,4.82,4.91,4.64,1.0,private,31260.0
42796054,181,Brand New Condo in Unique Capitol Hill,Broadway,47.62712,-122.3166,Entire condo,Entire home/apt,5,1 bath,1.0,1.0,115.0,153,4.76,4.9,4.78,4.86,4.78,4.93,4.79,1.0,standard,55097.0
42856473,44,"S. Lake Union 2BR w/ Indoor Pool, Gym, nr. Amazon",Belltown,47.61718,-122.33137,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,254.0,0,,,,,,,,2.0,standard,32555.0
42860814,184,"5br 8bed house near airport, downtown & train",Mount Baker,47.56883,-122.28751,Entire home,Entire home/apt,12,3 baths,5.0,8.0,313.0,18,5.0,5.0,4.89,4.94,4.94,4.89,4.94,3.0,standard,12429.0
42861356,276,Spacious & Newly remodeled 3BR in heart of Seattle,Mount Baker,47.5671,-122.28676,Entire home,Entire home/apt,6,2 baths,3.0,4.0,190.0,45,4.82,4.89,4.84,4.93,4.89,4.76,4.71,2.0,standard,12429.0
42862942,227,Stylish Ballard studio 15 mins from Space Needle,Whittier Heights,47.6866385,-122.3767875,Entire condo,Entire home/apt,4,1 bath,1.0,2.0,89.0,42,4.9,4.88,5.0,4.95,4.93,4.71,4.88,1.0,standard,5490.0
42869442,65,"S. Lake Union 1BR w/ Doorman, Gym, nr. Amazon",Belltown,47.61718,-122.33137,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,177.0,0,,,,,,,,1.0,standard,32555.0
42894717,74,Stylish Seattle farmhouse - Bonus suite + views,North Beacon Hill,47.58409,-122.31842,Entire home,Entire home/apt,16,6 baths,8.0,12.0,549.0,87,4.93,4.94,4.84,4.97,4.82,4.92,4.82,6.0,standard,22027.0
42902065,167,**Private Apt - 1 Bdrm with King Bed. Min to DT!**,Stevens,47.62356,-122.30287,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,129.0,156,4.96,4.94,4.94,4.99,5.0,4.91,4.88,1.0,standard,12865.0
42987988,69,Panoramic views @ Seattle townhouse on Beacon Hill,North Beacon Hill,47.58376,-122.31457,Entire townhouse,Entire home/apt,4,2.5 baths,2.0,2.0,188.0,64,4.89,4.94,4.92,4.97,4.94,4.9,4.71,2.5,standard,22027.0
42994085,83,Pet-Friendly 2BR in The Fremont Lofts,Fremont,47.65382,-122.35739,Entire serviced apartment,Entire home/apt,4,2 baths,2.0,2.0,116.0,3,4.33,4.67,4.0,5.0,4.67,4.0,3.33,2.0,standard,20441.0
43034874,156,Rental unit in Seattle · ★4.60 · Studio · 1 bed · 1 bath,University District,47.6572,-122.31584,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,77.0,5,4.6,4.6,4.4,4.8,4.8,5.0,4.8,1.0,standard,31260.0
43043911,49,"Downtown Seattle Condo, Loft",Belltown,47.61756134033203,-122.34635925292967,Entire loft,Entire home/apt,4,1.5 baths,1.0,2.0,122.0,147,4.86,4.93,4.94,4.71,4.92,4.94,4.88,1.5,standard,32555.0
43045062,156,"Penthouse above Pike Place +Target, w/ Parking",Central Business District,47.60758,-122.33776,Entire condo,Entire home/apt,5,1 bath,1.0,2.0,181.0,60,4.98,4.97,4.93,4.95,5.0,4.93,4.83,1.0,standard,66011.0
43046080,180,West Seattle 2-3 blocks to anything + 104 hot tub,Genesee,47.56604,-122.38294,Entire guest suite,Entire home/apt,4,1 bath,1.0,1.0,89.0,52,4.88,4.88,5.0,4.98,4.87,4.98,4.83,1.0,standard,8808.0
43047552,48,Judkin’s Park Bungalow,Atlantic,47.594,-122.30348,Entire rental unit,Entire home/apt,6,1 bath,2.0,2.0,75.0,5,4.8,5.0,4.8,5.0,5.0,5.0,4.6,1.0,standard,16578.0
43060179,4,Comfortable Studio in University Way-Walk to UW,University District,47.65686,-122.31566,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,73.0,29,4.59,4.38,4.59,4.86,4.86,4.66,4.38,1.0,standard,31260.0
43110115,204,"Alki BEACH,PrivateROOF&Garden,Parkng,Firpl,2BD3BTH",Alki,47.57766,-122.41055,Entire townhouse,Entire home/apt,4,2.5 baths,2.0,3.0,170.0,15,4.87,4.73,4.67,5.0,5.0,5.0,4.67,2.5,standard,5324.0
43118048,32,Quiet 1 bedroom condo downtown!,First Hill,47.61124,-122.33067,Entire condo,Entire home/apt,4,1 bath,1.0,1.0,132.0,64,4.73,4.81,4.86,4.81,4.88,4.84,4.66,1.0,standard,28704.0
43163848,60,Rental unit in Seattle · ★4.0 · Studio · 1 bed · 1 bath,University District,47.65888,-122.31716,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,110.0,49,4.0,3.96,3.8,4.43,4.82,4.2,3.88,1.0,standard,31260.0
43188510,57,Affordable Studio Close to UWA,University District,47.6587,-122.31754,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,62.0,31,4.06,4.13,4.03,4.39,4.84,4.61,4.0,1.0,standard,31260.0
43343468,28,Newly refinished Ravenna basement apartment,Ravenna,47.68226,-122.30679,Entire guest suite,Entire home/apt,4,1 bath,1.0,2.0,79.0,19,4.84,5.0,4.84,5.0,4.89,5.0,4.68,1.0,standard,12280.0
43432648,128,City★Water View Oasis + Pool & Gym in ♥ of Seattle,Belltown,47.61594,-122.34792,Entire condo,Entire home/apt,4,1 bath,1.0,2.0,173.0,11,4.64,4.91,4.73,4.27,4.73,4.82,4.55,1.0,standard,32555.0
43458820,127,City★Water View Oasis + Pool & Gym in ♥ of Seattle,Belltown,47.61365,-122.34709,Entire condo,Entire home/apt,4,1 bath,1.0,2.0,173.0,96,4.76,4.89,4.71,4.64,4.93,4.96,4.72,1.0,standard,32555.0
43458946,219,6810带独立卫生间房间出租,Mid-Beacon Hill,47.54111,-122.29963,Private room in home,Private room,2,1.5 baths,1.0,1.0,32.0,5,4.0,4.2,3.4,4.4,4.6,4.4,3.8,1.5,standard,11964.0
43461448,166,Gorgeous Lake Washington View,Rainier Beach,47.51451,-122.25235,Entire home,Entire home/apt,6,2 baths,3.0,4.0,175.0,41,4.98,4.93,4.95,4.98,4.98,4.85,4.95,2.0,standard,7709.0
43510567,354,Luxury Home minutes to downtown,Ravenna,47.6832,-122.30597,Entire home,Entire home/apt,10,3 baths,4.0,5.0,475.0,0,,,,,,,,3.0,standard,12280.0
43519844,173,The Baker: An Urban Luxe Garden Flat,Fremont,47.65895,-122.36005,Entire rental unit,Entire home/apt,3,1.5 baths,1.0,2.0,143.0,87,4.99,4.98,4.98,4.99,4.99,4.99,4.9,1.5,standard,20441.0
43531859,105,Chic Seattle Apartment near Greenlake,Roosevelt,47.68384,-122.3156,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,120.0,56,4.88,4.89,4.93,4.96,4.96,4.89,4.8,1.0,standard,11596.0
43554835,313,Casa Blanca 6- Private/Modern/Parking/Walk 2 Shops,Olympic Hills,47.73313,-122.29503,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,72.0,72,4.65,4.71,4.75,4.92,4.86,4.58,4.53,1.0,standard,10353.0
43554849,322,Casa Blanca 4- Private/Modern/Parking/Walk 2 Shops,Olympic Hills,47.73315,-122.29449,Entire rental unit,Entire home/apt,6,1 bath,2.0,3.0,80.0,94,4.54,4.65,4.69,4.88,4.93,4.59,4.5,1.0,standard,10353.0
43567588,14,Townhouse in Seattle · 3 bedrooms · 3 beds · 2 baths,North College Park,47.69930648803711,-122.3400650024414,Entire townhouse,Entire home/apt,6,2 baths,3.0,3.0,125.0,0,,,,,,,,2.0,standard,
43592678,143,3BR Dog Friendly | Deck | Garage Parking | W/D,Green Lake,47.67372,-122.32887,Entire home,Entire home/apt,10,3 baths,3.0,6.0,345.0,49,4.61,4.65,4.69,4.92,4.63,4.98,4.65,3.0,standard,13276.0
43609683,94,Near train and grocery beautiful quiet and private,Columbia City,47.56716,-122.29402,Entire home,Entire home/apt,2,1 bath,1.0,1.0,187.0,53,4.98,5.0,4.92,4.98,5.0,4.85,4.81,1.0,standard,19983.0
43653096,183,Seattle Beautiful Home Share,Riverview,47.5536,-122.35723,Private room in home,Private room,1,1 shared bath,1.0,1.0,47.0,13,4.92,4.92,4.85,5.0,5.0,4.77,4.77,1.0,shared,5014.0
43661722,150,Share West Seattle Home Long Term Roommates,Riverview,47.55526,-122.35736,Private room in home,Private room,1,2 shared baths,1.0,1.0,40.0,16,4.88,4.94,4.75,5.0,4.88,4.88,4.81,2.0,shared,5014.0
43727112,0,Cozy 2-BR Unit with historic charm. WalkSocre 98.,University District,47.66679,-122.31522,Entire guest suite,Entire home/apt,4,1 bath,2.0,2.0,175.0,15,4.87,5.0,4.93,5.0,5.0,5.0,4.87,1.0,standard,31260.0
43732745,0,Modern Seattle Oasis,Brighton,47.5404,-122.28005,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,300.0,0,,,,,,,,1.0,standard,10813.0
43748129,67,Charming & Bright Downtown Studio,Belltown,47.61437,-122.34238,Entire condo,Entire home/apt,3,1 bath,0.0,2.0,55.0,196,4.68,4.73,4.59,4.92,4.86,4.89,4.66,1.0,standard,32555.0
43765455,34,Heart of Ballard-1 bedroom-3 month min.,Adams,47.66851,-122.38329,Entire condo,Entire home/apt,2,1 bath,1.0,1.0,90.0,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,standard,
43770916,130,The Seattle House (guest house with a view),High Point,47.54702,-122.37639,Entire guesthouse,Entire home/apt,4,1 bath,2.0,3.0,148.0,163,4.99,4.99,4.99,4.99,4.99,4.94,4.94,1.0,standard,7950.0
43802203,154,Top Floor Water View Oasis ★ Space Needle & Cruise,Lower Queen Anne,47.62028,-122.35836,Entire condo,Entire home/apt,4,1 bath,1.0,2.0,173.0,61,4.89,4.85,4.92,4.85,4.9,4.9,4.8,1.0,standard,24262.0
43807087,80,Beautiful & Bright Downtown Studio,Belltown,47.61613,-122.34026,Entire condo,Entire home/apt,3,1 bath,0.0,2.0,56.0,156,4.56,4.53,4.69,4.92,4.77,4.9,4.46,1.0,standard,32555.0
43872195,132,Ravenna Park Retreat,Ravenna,47.67267,-122.30149,Entire guest suite,Entire home/apt,3,1 bath,1.0,2.0,160.0,27,5.0,4.93,4.96,4.96,4.93,4.93,4.93,1.0,standard,12280.0
43912436,44,Condo in Seattle · ★5.0 · 1 bedroom · 2 beds · 1 bath,East Queen Anne,47.64055,-122.34264,Entire condo,Entire home/apt,3,1 bath,1.0,2.0,120.0,5,5.0,5.0,4.6,5.0,5.0,5.0,5.0,1.0,standard,10264.0
43914151,84,Mid-Century Modern PNW Contemporary Chalet,Alki,47.56035,-122.40011,Entire home,Entire home/apt,8,2.5 baths,3.0,3.0,650.0,43,4.84,4.86,4.84,4.93,4.91,4.86,4.67,2.5,standard,5324.0
44016360,319,Deluxe Master Room/2 Queen Beds/Next to Light Rail,South Beacon Hill,47.52238,-122.28208,Private room in home,Private room,4,1 private bath,1.0,2.0,79.0,55,4.55,4.84,4.75,4.76,4.25,4.75,4.6,1.0,private,4934.0
44037101,155,Seattle family-neighborhood home,Ravenna,47.67848,-122.29351,Entire home,Entire home/apt,11,3 baths,4.0,4.0,400.0,36,5.0,5.0,4.97,4.97,5.0,5.0,4.92,3.0,standard,12280.0
44046825,238,"3 Bedroom, Modern family city home...",North Queen Anne,47.63999,-122.36362,Entire home,Entire home/apt,6,2.5 baths,3.0,5.0,489.0,21,5.0,5.0,5.0,5.0,4.86,5.0,4.86,2.5,standard,8697.0
44135289,244,"Alki Beach w/ Views, Free Wine, Rooftop Firepit",Alki,47.56998,-122.40769,Entire townhouse,Entire home/apt,10,2.5 baths,3.0,5.0,276.0,60,4.95,4.92,4.88,4.98,4.97,4.9,4.72,2.5,standard,5324.0
44139610,230,Private Studio Apartment in West Seattle,Fairmount Park,47.55096,-122.38516,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,89.0,77,4.83,4.92,4.9,4.94,4.96,4.84,4.83,1.0,standard,6776.0
44153528,59,Luxury Mid-Century Modern Laurelhurst Urban Oasis,Laurelhurst,47.6599,-122.27196,Entire home,Entire home/apt,6,2 baths,4.0,5.0,387.0,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,standard,2627.0
44155604,239,"Bright and Cozy, Modern Town Home | Roof Top Deck",Broadway,47.62614,-122.32001,Entire townhouse,Entire home/apt,4,2 baths,2.0,2.0,144.0,112,4.86,4.88,4.81,4.96,4.96,4.94,4.75,2.0,standard,55097.0
44164238,161,Spacious 2 Bdrm Home- Perfect Location- AC & VIEWS,West Queen Anne,47.63847,-122.37219,Entire home,Entire home/apt,6,1 bath,2.0,3.0,126.0,128,4.88,4.89,4.87,4.96,4.98,4.87,4.84,1.0,standard,7145.0
44170007,305,Private Room/Full Bath w Lock/Walking to LightRail,South Beacon Hill,47.52429,-122.28128,Private room in home,Private room,2,1 private bath,1.0,1.0,59.0,41,4.49,4.68,4.66,4.76,4.34,4.73,4.39,1.0,private,4934.0
44229955,201,Queen Anne New Design Studio,Lower Queen Anne,47.62781,-122.35356,Entire guest suite,Entire home/apt,2,1 bath,0.0,1.0,146.0,142,5.0,4.99,5.0,4.99,5.0,4.99,4.94,1.0,standard,24262.0
44233652,107,Sonder at Solis | Studio Apartment,Broadway,47.61473,-122.31604,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,222.0,76,4.79,4.93,4.96,4.8,4.7,4.87,4.79,1.0,standard,55097.0
44233690,230,Sonder at Solis | One-Bedroom Apartment,Broadway,47.61558,-122.31578,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,202.0,13,4.46,4.69,4.69,4.54,4.31,4.92,4.46,1.0,standard,55097.0
44233744,163,Sonder at Solis | Two-Bedroom Apartment w/ Balcony,Broadway,47.61467,-122.31435,Entire rental unit,Entire home/apt,6,1 bath,2.0,3.0,563.0,44,4.86,4.95,5.0,4.95,4.86,4.95,4.64,1.0,standard,55097.0
44233827,260,Sonder at Solis | Superior One-Bedroom Apartment,Minor,47.61337,-122.31435,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,262.0,64,4.8,4.77,4.89,4.83,4.77,4.86,4.66,1.0,standard,17587.0
44247996,26,Broadway's Best Capitol Hill Pad with Rooftop Deck,Broadway,47.62153,-122.31867,Entire townhouse,Entire home/apt,4,2 baths,2.0,2.0,200.0,21,5.0,4.95,5.0,4.95,5.0,4.95,4.9,2.0,standard,55097.0
44281181,238,Trendy Spacious Eastlake Apt next to Lake Union!,Eastlake,47.63762,-122.3244,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,104.0,142,4.71,4.8,4.68,4.92,4.82,4.64,4.61,1.0,standard,6510.0
44283043,89,casa particular in Seattle · ★4.86 · 2 bedrooms · 3 beds · 2 baths,Alki,47.5889654330577,-122.39396527987888,Casa particular,Entire home/apt,4,2 baths,2.0,3.0,259.0,21,4.86,4.9,4.9,4.81,4.67,4.95,4.81,2.0,standard,5324.0
44307394,187,Phinney 4+ BR 3 BA View House Near Zoo,Phinney Ridge,47.67489,-122.35261,Entire home,Entire home/apt,13,3 baths,4.0,7.0,434.0,8,4.88,4.88,4.5,5.0,5.0,5.0,4.75,3.0,standard,9289.0
44307621,101,Secret Rose Garden in Upper Queen Anne,North Queen Anne,47.64982,-122.37218,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,120.0,34,4.94,4.91,5.0,4.88,5.0,4.97,4.91,1.0,standard,8697.0
44318220,215,"Cozy cottage with private deck, park-like setting",North Admiral,47.57982,-122.3996,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,61.0,110,4.98,4.95,4.99,4.99,4.98,4.95,4.94,1.0,standard,10308.0
44325029,76,Georgetown Hill House w Hot Tub & Yard,Mid-Beacon Hill,47.54443,-122.30408,Entire home,Entire home/apt,4,1 bath,2.0,2.0,170.0,65,5.0,5.0,4.98,5.0,5.0,4.8,4.97,1.0,standard,11964.0
44358530,191,Sweet Little House in a Quiet Neighborhood.,Crown Hill,47.69297,-122.37988,Entire home,Entire home/apt,4,2 baths,2.0,3.0,154.0,45,4.8,4.91,4.8,4.91,4.96,4.91,4.78,2.0,standard,4943.0
44360168,162,Modern Ballard Townhouse - 92 Walkscore & Rooftop!,West Woodland,47.67007,-122.37258,Entire townhouse,Entire home/apt,5,2 baths,2.0,2.0,115.0,204,4.85,4.9,4.86,4.96,4.94,4.91,4.75,2.0,standard,15038.0
44373970,176,Perfect 1BR | Patio | Kitchenette| W/D,Broadway,47.62806,-122.31587,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,228.0,22,4.59,4.73,4.91,4.91,4.5,4.95,4.14,1.0,standard,55097.0
44391446,70,* Spacious Centrally Located 3BR w decks! *,Stevens,47.62233,-122.30047,Entire home,Entire home/apt,5,3.5 baths,3.0,2.0,165.0,6,5.0,5.0,4.83,5.0,5.0,5.0,5.0,3.5,standard,12865.0
44416682,360,Arboretum Little Oasis,Stevens,47.62836,-122.30038,Entire home,Entire home/apt,2,1 bath,1.0,1.0,110.0,0,,,,,,,,1.0,standard,12865.0
44479137,204,"Dog friendly, great neighborhood in West Seattle",North Admiral,47.57501,-122.38022,Entire guest suite,Entire home/apt,4,1 bath,1.0,2.0,260.0,18,5.0,5.0,5.0,5.0,5.0,5.0,4.94,1.0,standard,10308.0
44480117,187,Comfy & Modern 3br/3.5ba Townhome near Light Rail!,Brighton,47.53347092596047,-122.28068868366611,Entire townhouse,Entire home/apt,6,2.5 baths,3.0,3.0,113.0,90,4.82,4.89,4.89,4.97,4.97,4.6,4.78,2.5,standard,10813.0
44489357,168,Upscale Home w/Patio: Walk to Green Lake Park,Green Lake,47.68551,-122.33724,Entire townhouse,Entire home/apt,6,1.5 baths,2.0,3.0,135.0,62,4.69,4.74,4.71,4.77,4.63,4.82,4.58,1.5,standard,13276.0
